a,b,c,d,e,f,g,h,i,j,k
1,14,2,5,769,0.005201560468140442,0.012195121951219513,0.0,0.005617130701420921,0.0023758338468407524,0.4265279583875162
1,14,3,4,769,0.005201560468140442,0.007731958762886598,0.0,0.0029616369291096253,0.0029744228991517244,0.6727351538794972
1,14,4,4,769,0.005201560468140442,0.007751937984496123,0.0,0.0035757341861523133,0.0031410909895836325,0.6710013003901171
1,15,0,5,540,0.007407407407407408,0.5,0.0,0.016636138772568004,0.03166076148911575,0.014814814814814815
1,15,1,2,540,0.003703703703703704,0.004878048780487805,0.0,0.0018696861958361652,0.0015901360116555518,0.7592592592592593
1,15,2,3,540,0.005555555555555557,0.02564102564102564,0.0,0.0075194210522950234,0.005381411876660286,0.21666666666666667
1,15,3,3,540,0.005555555555555557,0.2,0.0,0.015008805456364925,0.017125248555127582,0.027777777777777776
1,15,4,4,540,0.007407407407407408,0.5,0.0,0.01872708659911759,0.03163152735316867,0.014814814814814815
1,16,0,5,1074,0.0037243947858473,0.0125,0.0,0.005564649239216465,0.002204199873481008,0.29795158286778395
1,16,1,2,1074,0.00186219739292365,0.5,0.0,0.01101519506593392,0.031339835426705286,0.0037243947858473
1,16,2,4,1074,0.0037243947858473,0.5,0.0,0.013145837677402551,0.0239632580663938,0.0074487895716946
1,16,3,4,1074,0.0037243947858473,0.25,0.0,0.008215445090980366,0.0147457757405071,0.0148975791433892
1,16,4,4,1074,0.0037243947858473,0.009009009009009007,0.0,0.004110246356117362,0.001986503272546377,0.4134078212290503
1,17,0,3,669,0.004484304932735426,0.008021390374331552,0.0,0.004050483989660238,0.0024464970377409104,0.5590433482810164
1,17,1,2,669,0.002989536621823617,0.005050505050505051,0.0,0.002238902826524183,0.0015688078782877884,0.5919282511210762
1,17,2,4,669,0.005979073243647235,0.07142857142857142,0.0,0.010556985408247769,0.007644369263321783,0.08370702541106129
1,17,3,3,669,0.004484304932735426,0.0046875,0.0,0.0005450384681578451,0.0011461979771841034,0.9566517189835576
1,17,4,5,669,0.005979073243647235,0.030769230769230767,0.0,0.008601289695890947,0.005534301785479702,0.19431988041853512
1,18,0,1,225,0.004444444444444445,0.009615384615384616,0.0,0.003461091004753584,0.0033545121149124143,0.4622222222222222
1,18,1,1,225,0.004444444444444445,0.0625,0.0,0.011899145111163993,0.011195540508102259,0.07111111111111111
1,18,2,1,225,0.004444444444444445,0.5,0.0,0.02220238508107063,0.04851513651888223,0.008888888888888889
1,18,3,0,225,0.0,0.0,0.0,0.0,0.0,-1.0
1,18,4,5,225,0.017777777777777778,0.1,0.0,0.021877725500047226,0.013303727393438249,0.17777777777777776
1,19,0,3,290,0.010344827586206895,0.04444444444444445,0.0,0.015536927106312113,0.009271809164071049,0.2327586206896552
1,19,1,3,290,0.010344827586206895,0.013157894736842105,0.0,0.004873462384565862,0.004983482479392717,0.7862068965517242
1,19,2,5,290,0.013793103448275862,0.2222222222222222,0.0,0.02541899800140345,0.0315197038765021,0.06206896551724138
1,19,3,2,290,0.006896551724137931,0.022727272727272728,0.0,0.008324986899335841,0.004701648422881742,0.30344827586206896
1,19,4,4,290,0.013793103448275862,0.18181818181818185,0.0,0.035005607132684115,0.027200724034548283,0.07586206896551724
1,20,0,5,391,0.010230179028132991,0.03333333333333333,0.0,0.015842563583028466,0.007043746440815722,0.3069053708439898
1,20,1,4,391,0.010230179028132991,0.014492753623188406,0.0,0.00701816736202121,0.003866339504455098,0.7058823529411765
1,20,2,3,391,0.007672634271099744,0.009615384615384616,0.0,0.004214656214717936,0.003315491605385076,0.7979539641943734
1,20,3,2,391,0.005115089514066497,0.1111111111111111,0.0,0.013375403104722327,0.013229458398695926,0.04603580562659848
1,20,4,2,391,0.005115089514066497,0.008849557522123894,0.0,0.003501616100010936,0.002546523940467698,0.5780051150895141
1,21,0,5,715,0.0055944055944055935,0.5,0.0,0.014169864064169271,0.03082368200628025,0.011188811188811187
1,21,1,4,715,0.0055944055944055935,0.019230769230769232,0.0,0.008003912988143314,0.004639238660023578,0.2909090909090909
1,21,2,3,715,0.004195804195804196,0.010869565217391304,0.0,0.004765839252009435,0.003133391183265591,0.386013986013986
1,21,3,3,715,0.004195804195804196,0.009523809523809523,0.0,0.004222141898188187,0.0020603446201372935,0.4405594405594405
1,21,4,4,715,0.0055944055944055935,0.03333333333333333,0.0,0.008740629932406192,0.0056031389829944815,0.16783216783216784
1,22,0,2,630,0.0031746031746031746,0.016666666666666666,0.0,0.004188054121253647,0.003006555023414392,0.19047619047619047
1,22,1,2,630,0.0031746031746031746,0.015384615384615384,0.0,0.004944522385314757,0.0027388662427503033,0.20634920634920634
1,22,2,4,630,0.006349206349206349,0.018518518518518517,0.0,0.0095950349261188,0.0038814184002019508,0.3428571428571429
1,22,3,5,630,0.006349206349206349,0.047619047619047616,0.0,0.0064345547984876435,0.0063316491150293775,0.13333333333333333
1,22,4,4,630,0.006349206349206349,0.6666666666666666,0.0,0.025869200366179863,0.05015621904577629,0.009523809523809523
1,23,0,5,468,0.008547008547008548,0.5,0.0,0.0197142830985604,0.03369698478386026,0.017094017094017096
1,23,1,4,468,0.008547008547008548,0.008565310492505356,0.0,0.0035642378146330633,0.0025656034909228138,0.997863247863248
1,23,2,2,468,0.004273504273504274,0.0136986301369863,0.0,0.006235652211962451,0.0036259289548298147,0.311965811965812
1,23,3,0,468,0.0,0.0,0.0,0.0,0.0,-1.0
1,23,4,4,468,0.008547008547008548,0.013888888888888888,0.0,0.005992297406103341,0.004607087547861617,0.6153846153846155
1,24,0,5,939,0.004259850905218318,0.022222222222222227,0.0,0.006313845188605551,0.002837419950851266,0.1916932907348243
1,24,1,3,939,0.003194888178913738,0.0064516129032258064,0.0,0.003081068117375519,0.00230045724038114,0.4952076677316294
1,24,2,4,939,0.004259850905218318,0.004381161007667032,0.0,0.0012922253094583586,0.0014475686508880676,0.9723109691160812
1,24,3,2,939,0.002129925452609159,0.002320185614849188,0.0,0.0003386213107924044,0.0006987178768055775,0.9179978700745476
1,24,4,4,939,0.004259850905218318,0.006329113924050633,0.0,0.003561125228065582,0.00171913370839585,0.6730564430244942
2,0,0,5,276,0.01444043321299639,0.017543859649122806,0.0,0.01002255882963748,0.0056323203132322,0.8231046931407943
2,0,1,5,164,0.02424242424242424,0.1111111111111111,0.0,0.03722252551603024,0.016802216108682714,0.2181818181818182
2,0,2,5,244,0.0163265306122449,0.018018018018018014,0.0,0.003504204039167741,0.006210636813867325,0.906122448979592
2,0,3,5,298,0.013377926421404682,0.016194331983805668,0.0,0.007910321587893952,0.006312408745787614,0.8260869565217391
2,0,4,5,255,0.015625,0.017543859649122806,0.0,0.00734216986970082,0.006229522427785573,0.890625
2,1,0,5,315,0.012658227848101266,0.017391304347826087,0.0,0.010823388386528505,0.005407021015160211,0.7278481012658228
2,1,1,5,200,0.01990049751243781,0.020512820512820516,0.0,0.006642564752692025,0.00542999475998289,0.9701492537313432
2,1,2,5,230,0.017316017316017316,0.018957345971563986,0.0,0.007751963198886024,0.007831651851295408,0.9134199134199134
2,1,3,5,221,0.018018018018018014,0.021505376344086027,0.0,0.008595974869441428,0.008478026260692656,0.8378378378378377
2,1,4,5,265,0.015037593984962403,0.021739130434782608,0.0,0.011642090394403316,0.006081582621666841,0.6917293233082706
2,2,0,5,294,0.013559322033898305,0.013986013986013986,0.0,0.005232886874421281,0.005701623291773983,0.9694915254237289
2,2,1,5,168,0.02366863905325444,0.05,0.0,0.02018855613687252,0.009445177521511436,0.4733727810650887
2,2,2,5,305,0.013071895424836602,0.030303030303030307,0.0,0.016295297983045996,0.0065561294459994274,0.4313725490196079
2,2,3,5,316,0.012618296529968454,0.017699115044247787,0.0,0.006312353763236551,0.006898279370538613,0.7129337539432177
2,2,4,5,178,0.0223463687150838,0.03571428571428571,0.0,0.01601003111380495,0.00790004150144801,0.6256983240223464
2,3,0,5,170,0.023391812865497075,0.038461538461538464,0.0,0.021720641781027783,0.0097897769631818,0.6081871345029239
2,3,1,5,222,0.017937219730941704,0.3333333333333333,0.017937219730941704,0.04418422159824676,0.03751475215079615,0.0
2,3,2,5,283,0.014084507042253518,0.047619047619047616,0.0,0.01553788982818579,0.007480039664135005,0.295774647887324
2,3,3,5,258,0.015444015444015444,0.029411764705882356,0.0,0.01587077389787862,0.00695612336898919,0.5250965250965252
2,3,4,5,230,0.017316017316017316,0.022222222222222227,0.0,0.010945608709194615,0.006254681449374097,0.7792207792207791
2,4,0,5,283,0.014084507042253518,0.03773584905660377,0.0,0.014066931393617949,0.008258319150801548,0.3732394366197183
2,4,1,5,189,0.021052631578947368,0.3333333333333333,0.021052631578947368,0.04294408488642281,0.034650641202712294,0.0
2,4,2,5,275,0.014492753623188406,0.030303030303030307,0.0,0.014491007115111872,0.006022844857012918,0.4782608695652174
2,4,3,5,214,0.018604651162790697,0.04166666666666666,0.0,0.01950626882191352,0.007859364066738005,0.4465116279069768
2,4,4,5,297,0.013422818791946308,0.027027027027027032,0.0,0.014014236077391022,0.005865400918123334,0.4966442953020134
2,5,0,5,335,0.011904761904761904,0.01680672268907563,0.0,0.006649921548893917,0.006393561538487254,0.7083333333333334
2,5,1,5,300,0.0132890365448505,0.01486988847583643,0.0,0.00631810152890825,0.005745385851256301,0.8936877076411961
2,5,2,5,244,0.0163265306122449,0.019230769230769232,0.0,0.004903903230606195,0.006936681976827887,0.8489795918367348
2,5,3,5,127,0.03125,0.3333333333333333,0.03125,0.06567828186999286,0.04416470698950827,0.0
2,5,4,5,191,0.02083333333333333,0.0425531914893617,0.0,0.017682058612794878,0.01098542521172771,0.4895833333333333
2,6,0,5,252,0.015810276679841896,0.1111111111111111,0.0,0.02531748711708667,0.013165733485266649,0.1422924901185771
2,6,1,5,164,0.02424242424242424,0.03125,0.0,0.017054042982326344,0.00898234633281936,0.7757575757575758
2,6,2,5,292,0.013651877133105802,0.015686274509803918,0.0,0.007141819675212464,0.005787291295936613,0.870307167235495
2,6,3,5,294,0.013559322033898305,0.015151515151515154,0.0,0.007783379441669645,0.004662083416075318,0.8949152542372881
2,6,4,5,272,0.014652014652014654,0.1,0.0,0.017794197530091396,0.013221994076154157,0.1465201465201465
2,7,0,5,257,0.015503875968992246,0.017937219730941704,0.0,0.004974781566774611,0.006599574962495679,0.8643410852713178
2,7,1,5,244,0.0163265306122449,0.01932367149758454,0.0,0.005996853809947625,0.007305768305208782,0.8448979591836736
2,7,2,5,261,0.015267175572519085,0.125,0.0,0.025991151920421555,0.01514262421657266,0.12213740458015268
2,7,3,5,170,0.023391812865497075,0.10526315789473684,0.0,0.03647398287199343,0.01849012854619037,0.2222222222222222
2,7,4,5,251,0.015873015873015872,0.03333333333333333,0.0,0.014730531620152715,0.008380582077980757,0.4761904761904762
2,8,0,5,285,0.013986013986013986,0.01680672268907563,0.0,0.009681933558986713,0.0054119725331338644,0.8321678321678322
2,8,1,5,180,0.022099447513812157,0.04166666666666666,0.0,0.018028432273460505,0.008258256531264978,0.5303867403314917
2,8,2,5,167,0.023809523809523808,0.045454545454545456,0.0,0.018260303032357345,0.00914263363169037,0.5238095238095237
2,8,3,5,344,0.011594202898550723,0.25,0.0,0.017809812978414972,0.02400915854369033,0.0463768115942029
2,8,4,5,267,0.01492537313432836,0.02010050251256281,0.0,0.009453298181237349,0.00662447782982298,0.7425373134328358
2,9,0,5,275,0.014492753623188406,0.16666666666666666,0.0,0.019999769994231018,0.019175732305183484,0.08695652173913045
2,9,1,5,284,0.014035087719298246,0.028571428571428567,0.0,0.016713844438767764,0.006864168854765164,0.4912280701754386
2,9,2,5,297,0.013422818791946308,0.020408163265306117,0.0,0.0110311149451241,0.006526805356921411,0.6577181208053692
2,9,3,5,193,0.020618556701030927,0.09090909090909093,0.0,0.022199071704806648,0.013592291353049044,0.2268041237113402
2,9,4,5,215,0.018518518518518517,0.020512820512820516,0.0,0.007532639707082071,0.00840168348116427,0.9027777777777776
2,10,0,5,185,0.021505376344086027,0.05555555555555555,0.0,0.022044111860920743,0.010041885302526924,0.3870967741935484
2,10,1,5,206,0.01932367149758454,0.0576923076923077,0.0,0.02430411183026529,0.01432058087304766,0.33494363929146537
2,10,2,5,243,0.016393442622950817,0.25,0.0,0.022381006680755943,0.027602707006729503,0.06557377049180327
2,10,3,5,335,0.011904761904761904,0.16666666666666666,0.0,0.014536556727638528,0.018829633960241163,0.07142857142857142
2,10,4,5,304,0.013114754098360656,0.016194331983805668,0.0,0.0056956755812562635,0.006027564965412556,0.8098360655737705
2,11,0,5,293,0.013605442176870748,0.01904761904761905,0.0,0.008571869574138817,0.007561195832793948,0.7142857142857142
2,11,1,5,302,0.0132013201320132,0.3333333333333333,0.005434782608695652,0.018912095683355747,0.031561107927388345,0.023685793993764026
2,11,2,5,209,0.01904761904761905,0.02127659574468085,0.0,0.005152900065395867,0.006838597367521758,0.8952380952380954
2,11,3,5,216,0.018433179723502304,0.023809523809523808,0.0,0.010211472211782731,0.007773218804627197,0.7741935483870969
2,11,4,5,235,0.01694915254237288,0.06896551724137931,0.0,0.0249547412878825,0.012613304192945495,0.2457627118644068
2,12,0,5,212,0.018779342723004692,0.02247191011235955,0.0,0.00494031975520303,0.00798365296469568,0.835680751173709
2,12,1,5,226,0.01762114537444934,0.3333333333333333,0.012987012987012988,0.028962448213910738,0.03393638510667577,0.014466007858078347
2,12,2,5,204,0.01951219512195122,0.040816326530612235,0.0,0.01748179249268804,0.009826817860875406,0.4780487804878049
2,12,3,5,158,0.025157232704402517,0.04651162790697674,0.0,0.021963082880482977,0.011664941405628694,0.5408805031446541
2,12,4,5,262,0.015209125475285171,0.019230769230769232,0.0,0.00870180472405312,0.007049605797795898,0.7908745247148289
2,13,0,5,173,0.02298850574712644,0.3333333333333333,0.017543859649122806,0.0364423947254264,0.037069666726883985,0.01724137931034483
2,13,1,5,294,0.013559322033898305,0.01492537313432836,0.0,0.006785313566614789,0.005820907496870568,0.9084745762711864
2,13,2,5,231,0.017241379310344827,0.08333333333333333,0.0,0.018960762076032905,0.01183474037335785,0.20689655172413796
2,13,3,5,257,0.015503875968992246,0.017316017316017316,0.0,0.0062744077198746044,0.006601139916619379,0.8953488372093024
2,13,4,5,261,0.015267175572519085,0.08,0.0,0.022586336718533082,0.013766282468620996,0.19083969465648853
2,14,0,5,231,0.017241379310344827,0.04,0.0,0.01753038259582201,0.009393435939300185,0.4310344827586207
2,14,1,5,276,0.01444043321299639,0.016,0.0,0.007648059071567866,0.005459471477128987,0.9025270758122744
2,14,2,5,168,0.02366863905325444,0.04166666666666666,0.0,0.020449519723036862,0.009030198666520307,0.5680473372781065
2,14,3,5,274,0.014545454545454544,0.03448275862068965,0.0,0.014148408130717362,0.006424041346931703,0.4218181818181818
2,14,4,5,317,0.012578616352201259,0.3333333333333333,0.00881057268722467,0.02172872422671314,0.030241789530135482,0.011611030478955007
2,15,0,5,324,0.012307692307692308,0.3333333333333333,0.0045662100456621,0.018087969019717008,0.030671767281214426,0.02354700854700855
2,15,1,5,180,0.022099447513812157,0.1111111111111111,0.0,0.03579301268377787,0.018513752583770016,0.19889502762430936
2,15,2,5,209,0.01904761904761905,0.043478260869565216,0.0,0.02091167290014364,0.010484898778786741,0.43809523809523815
2,15,3,5,283,0.014084507042253518,0.02197802197802198,0.0,0.012116279189029031,0.008012143569849505,0.6408450704225351
2,15,4,5,211,0.018867924528301886,0.02298850574712644,0.0,0.010037492319057095,0.007952253484691233,0.820754716981132
2,16,0,5,247,0.016129032258064516,0.024390243902439025,0.0,0.012485578845646123,0.0071643059076328,0.6612903225806451
2,16,1,5,229,0.017391304347826087,0.021739130434782608,0.0,0.009219378646154736,0.005987670602048712,0.8
2,16,2,5,241,0.016528925619834708,0.02325581395348837,0.0,0.013028461674188694,0.007515588091198119,0.7107438016528926
2,16,3,5,286,0.013937282229965157,0.01680672268907563,0.0,0.007555489564873581,0.00598375776223991,0.8292682926829269
2,16,4,5,250,0.01593625498007968,0.026143790849673203,0.0,0.015469067555532432,0.00784583168278675,0.6095617529880478
2,17,0,5,260,0.01532567049808429,0.018518518518518517,0.0,0.007906172636585492,0.007181842790209594,0.8275862068965517
2,17,1,5,246,0.016194331983805668,0.02054794520547945,0.0,0.0095624828871948,0.00750360132024742,0.7881241565452092
2,17,2,5,179,0.022222222222222227,0.047619047619047616,0.0,0.01867306355604425,0.008849002208011162,0.4666666666666667
2,17,3,5,257,0.015503875968992246,0.017316017316017316,0.0,0.006299419140545725,0.007121116358752471,0.8953488372093024
2,17,4,5,245,0.016260162601626018,0.020618556701030927,0.0,0.009444290611582206,0.007795908598767694,0.7886178861788619
2,18,0,5,220,0.01809954751131222,0.125,0.0,0.025359300554470485,0.016108215970129087,0.14479638009049775
2,18,1,5,273,0.0145985401459854,0.016736401673640166,0.0,0.006962189071302821,0.005889618068753593,0.8722627737226278
2,18,2,5,293,0.013605442176870748,0.018404907975460124,0.0,0.007789238979385197,0.007327142013848398,0.7392290249433106
2,18,3,5,258,0.015444015444015444,0.017937219730941704,0.0,0.009910001217733149,0.00594054686352482,0.8610038610038611
2,18,4,5,152,0.026143790849673203,0.03658536585365853,0.0,0.020905746991600627,0.01291016065163172,0.7145969498910676
2,19,0,5,258,0.015444015444015444,0.04,0.0,0.01725625129272016,0.008454871266331909,0.3861003861003861
2,19,1,5,239,0.016666666666666666,0.020408163265306117,0.0,0.009764806487920032,0.005403161078146671,0.8166666666666668
2,19,2,5,216,0.018433179723502304,0.04,0.0,0.01326369561651458,0.008037507473556825,0.4608294930875576
2,19,3,5,207,0.019230769230769232,0.3333333333333333,0.010309278350515464,0.028617843240057575,0.0357171151369328,0.027618657937806882
2,19,4,5,354,0.01126760563380282,0.014234875444839857,0.0,0.006771162078118959,0.005409478857297954,0.7915492957746479
2,20,0,5,197,0.020202020202020204,0.08695652173913042,0.0,0.032301891311820666,0.016689137348096898,0.23232323232323235
2,20,1,5,256,0.01556420233463035,0.020618556701030927,0.0,0.007211396068467798,0.008250668420920105,0.7548638132295721
2,20,2,5,327,0.012195121951219513,0.020408163265306117,0.0,0.010712415314394465,0.004877132673801758,0.5975609756097562
2,20,3,5,175,0.022727272727272728,0.10344827586206896,0.0,0.036266504048563936,0.021991707079465142,0.2196969696969697
2,20,4,5,265,0.015037593984962403,0.017167381974248927,0.0,0.0065524835099901296,0.0066950927151839396,0.8759398496240601
2,21,0,5,269,0.014814814814814815,0.3333333333333333,0.01276595744680851,0.02711523637296142,0.031654253174877564,0.006391347099311706
2,21,1,5,141,0.028169014084507043,0.3333333333333333,0.01492537313432836,0.03658308725555887,0.041443023570880436,0.04159330985915494
2,21,2,5,263,0.015151515151515154,0.016666666666666666,0.0,0.007349829247172695,0.005856006654943042,0.9090909090909092
2,21,3,5,347,0.011494252873563218,0.013888888888888888,0.0,0.004734965319384442,0.005057444904004164,0.8275862068965517
2,21,4,5,232,0.017167381974248927,0.02469135802469136,0.0,0.01202467036424705,0.00890622799573422,0.6952789699570816
2,22,0,5,183,0.021739130434782608,0.030303030303030307,0.0,0.01498558163720509,0.010047038321721824,0.7173913043478259
2,22,1,5,258,0.015444015444015444,0.2,0.0,0.023401344296370242,0.02239311372531604,0.07722007722007722
2,22,2,5,285,0.013986013986013986,0.023622047244094488,0.0,0.013018956640793382,0.006778324940107168,0.5920745920745921
2,22,3,5,226,0.01762114537444934,0.02127659574468085,0.0,0.006085169210425943,0.0073270278430121625,0.8281938325991189
